# source: https://www.bookbub.com/blog/classic-books-to-read-in-lifetime-challenge
# fetched: 2026-08-18
# note: BookBub, 'Reading Challenge: 103 Classics to Read in a Lifetime' (by BookBub, dated December 03, 2024 on page); 103 entries in page order (unranked); title/author taken from the page's JS-rendered book cards (edition subtitles like '75th Anniversary Edition' are as printed on the cards); no years given
The Adventures of Huckleberry Finn	Mark Twain	
Frankenstein	Mary Shelley	
Pride and Prejudice	Jane Austen	
Rebecca	Daphne du Maurier	
The Little Prince	Antoine de Saint-Exupéry	
The Color Purple	Alice Walker	
Little Women	Louisa May Alcott	
Great Expectations	Charles Dickens	
The Scarlet Letter	Nathaniel Hawthorne	
Gone with the Wind	Margaret Mitchell	
The Picture of Dorian Gray	Oscar Wilde	
Fahrenheit 451	Ray Bradbury	
The Great Gatsby: The Authorized Edition	F. Scott Fitzgerald	
The Metamorphosis	Franz Kafka	
The Old Man and the Sea	Ernest Hemingway	
Animal Farm	George Orwell	
Of Mice and Men	John Steinbeck	
The Call of the Wild	Jack London	
The Stranger	Albert Camus	
Catch-22	Joseph Heller	
Lord of the Flies	William Golding	
Brave New World	Aldous Huxley	
The Awakening	Kate Chopin	
Go Tell It on the Mountain	James Baldwin	
1984: 75th Anniversary Edition	George Orwell	
A Clockwork Orange	Anthony Burgess	
Selected Poems	E. E. Cummings	
Fairy Tales of the Brothers Grimm	The Brothers Grimm	
The Iliad	Homer	
Moby-Dick	Herman Melville	
The Complete Stories	Flannery O’Connor	
The Republic	Plato	
The Jungle	Upton Sinclair	
Antigone	Sophocles	
Romeo and Juliet	William Shakespeare	
Ethan Frome	Edith Wharton	
The Handmaid’s Tale	Margaret Atwood	
A Prayer for Owen Meany	John Irving	
The Princess Bride	William Goldman	
Far from the Madding Crowd	Thomas Hardy	
A Wrinkle in Time	Madeleine L’Engle	
To Kill a Mockingbird	Harper Lee	
Night: Memorial Edition	Elie Wiesel	
Anne of Green Gables	Lucy Maud Montgomery	
The Diary of a Young Girl: 75th Anniversary Edition	Anne Frank	
Invisible Man	Ralph Ellison	
A Room with a View	E. M. Forster	
A Tree Grows in Brooklyn	Betty Smith	
East of Eden	John Steinbeck	
Anna Karenina	Leo Tolstoy	
The House of Mirth	Edith Wharton	
Wuthering Heights	Emily Brontë	
Jane Eyre	Charlotte Brontë	
Their Eyes Were Watching God	Zora Neale Hurston	
Love in the Time of Cholera	Gabriel García Márquez	
The Last of the Mohicans	James Fenimore Cooper	
Madame Bovary	Gustave Flaubert	
The Count of Monte Cristo	Alexandre Dumas	
Tess of the D’Urbervilles	Thomas Hardy	
The Sound and the Fury	William Faulkner	
A Passage to India (RosettaBooks Into Film)	E. M. Forster	
The Good Earth	Pearl S. Buck	
Robinson Crusoe	Daniel Defoe	
Don Quixote	Miguel de Cervantes	
Mrs. Dalloway	Virginia Woolf	
The Alchemist	Paulo Coelho	
Vanity Fair	William Makepeace Thackeray	
The House on Mango Street	Sandra Cisneros	
The Outsiders	S. E. Hinton	
Bridge to Terabithia	Katherine Paterson	
The Secret Garden	Frances Hodgson Burnett	
A Separate Peace	John Knowles	
Never Let Me Go	Kazuo Ishiguro	
Atlas Shrugged	Ayn Rand	
On the Road	Jack Kerouac	
Ulysses	James Joyce	
Gulliver’s Travels	Jonathan Swift	
Dracula	Bram Stoker	
And Then There Were None	Agatha Christie	
COLLECTED POEMS OF W.B. YEATS	William Butler Yeats	
The Catcher in the Rye	J. D. Salinger	
The Hunger Games	Suzanne Collins	
Harry Potter and the Sorcerer’s Stone	J.K. Rowling	
Beloved	Toni Morrison	
Life of Pi	Yann Martel	
The Book Thief	Markus Zusak	
The Lord of the Rings	J.R.R. Tolkien	
The Kite Runner	Khaled Hosseini	
Memoirs of a Geisha	Arthur Golden	
A Game of Thrones	George R. R. Martin	
Angela’s Ashes	Frank McCourt	
The Time Traveler’s Wife	Audrey Niffenegger	
The Hitchhiker’s Guide to the Galaxy	Douglas Adams	
The Absolutely True Diary of a Part-Time Indian (National Book Award Winner)	Sherman Alexie	
The Namesake	Jhumpa Lahiri	
The Five People You Meet in Heaven	Mitch Albom	
The Giver	Lois Lowry	
Are You There God? It’s Me, Margaret	Judy Blume	
The Brief Wondrous Life of Oscar Wao	Junot Díaz	
Infinite Jest	David Foster Wallace	
I Know Why the Caged Bird Sings	Maya Angelou	
The Nickel Boys	Colson Whitehead	
The Goldfinch	Donna Tartt	
