# source: https://jeffrich.substack.com/p/100-books-to-read-before-it-is-too
# fetched: 2026-08-18
# note: Jeff Rich, 'The open, global list of the 100 classics to read before you die' (Substack post, 2025-05-10); 100 entries in page order (author explicitly not in order of merit); author is the surname/name as printed in the page's '(Author, Country)' parenthetical, country dropped; no years given
The Master and Margarita	Bulgakov	
The White Guard	Bulgakov	
Crime and Punishment	Dostoyevsky	
The Brothers Karamazov	Dostoyevsky	
Anna Karenina	Tolstoy	
War and Peace	Tolstoy	
Middlemarch	Eliot	
The Palliser Novels	Trollope	
Madame Bovary	Flaubert	
The Red and the Black	Stendhal	
Tess of the d’Urbervilles	Hardy	
Portrait of a Lady	James	
The Plague	Camus	
Wuthering Heights	Bronte	
The Sound and Fury	Faulkner	
Heart of Darkness	Conrad	
The Secret Agent	Conrad	
Pale Fire	Nabokov	
Speak, Memory	Nabokov	
Faust Parts 1 & 2	Goethe	
Things Fall Apart	Chinua Achebe	
Doctor Faustus	Mann	
The Magic Mountain	Mann	
Buddenbrooks	Mann	
In Search of Lost Time	Proust	
The Unbearable Lightness of Being	Kundera	
The Great Gatsby	Fitzgerald	
Grapes of Wrath	Steinbeck	
Darkness at Noon	Koestler	
The Age of Innocence	Wharton	
Brave New World	Huxley	
1984	Orwell	
Homage to Catalonia	Orwell	
Dead Souls	Gogol	
Pride and Prejudice	Austen	
The Book of Disquiet	Pessoa	
The Metamorphosis	Kafka	
The Castle	Kafka	
The Parables & Diaries	Kafka	
Moby Dick	Melville	
The Real Story of Ah Q	Lu Xun	
The Waves	Woolf	
Ulysses	Joyce	
Don Quixote	Cervantes	
The Decameron	Boccacio	
Doctor Zhivago	Pasternak	
One Day in the Life of Ivan Denisovich	Solzhenitsyn	
Frankenstein	Shelley	
One Hundred Years of Solitude	Garcia Marquez	
Life and Fate	Groszman	
Collected Works	Borges	
The Books of Jacob	Tokarczuk	
Flights	Tokarczuk	
Wittgenstein's Nephew	Bernhard	
Death of Virgil	Broch	
Rings of Saturn	Sebald	
Austerlitz	Sebald	
Mahabharata		
Ramayana		
Hojoki	Kamo no Chōmei	
The Narrow Road to the Deep North	Basho	
The Queen of Spades	Pushkin	
The Captain's Daughter	Pushkin	
Eugene Onegin	Pushkin	
My Name is Red	Orhan Pamuk	
The Children of the Dead	Elfriede Jelinek	
Waiting for the Barbarians	Coetzee	
Tin Drum	Gunter Grass	
Cairo Trilogy	Mahfouz	
Red Sorghum	Mo Yan	
Captive Mind	Miłosz	
Voss	White	
Vivisector	White	
The Lost Honor of Katharina Blum	Böll	
The Unnameable	Beckett	
Waiting for Godot	Beckett	
Snow Country	Yasunari Kawabata	
The English Patient	Ondaatje	
If On A Winter's Night a Traveller	Calvino	
And Quiet Flows the Don	Sholokhov	
The Bridge on the Drina	Andric	
The Thibaults	du Gard	
Six Characters in Search of An Author	Pirandello	
Kristin Lavransdatter	Undset	
Bunt (Revolt)	Reymont	
Growth of the Soil	Hamsun	
Stories	Tagore	
Strange Tales from a Chinese Studio	Pu Songling	
The Name of the Rose	Eco	
The Fortunes of Richard Mahoney	H.H. Richardson	
The Tale of the Genji	Murasaki Shikibu	
The Prose Edda	Snorri Sturluson	
Finnegans Wake	James Joyce	
Stories	Chekhov	
Plays	Chekhov	
Petersburg	Bely	
The Story of the Stone	Cao Xueqin	
Midnight's Children	Rushdie	
The Man Without Qualities	Musil	
Oscar and Lucinda	Peter Carey	
