# source: https://www.classicbookschallenge.com/the-list
# fetched: 2026-08-18
# note: 'The top 100 List' from the Classic Books Challenge blog (a personal reading-challenge blog; the author says it is copied from thegreatestbooks.org's top 100 at the time; page undated); ordered list of 100 entries captured. Page has no years; the page's '(text)'/'(Audiobook)' read-format markers were stripped from author field; typos in titles/authors kept as printed
In Search of Lost Time	Marcel Proust	
Don Quixote	Miguel de Cerventes	
Ulysses	James Joyce	
The Great Gatsby	F Scott Fitzgerald	
Moby Dick	Herman Melville	
Hamlet	William Shakespeare	
War and Peace	Leo Tolstoy	
The Odyssey	Homer	
One Hundred Years of Solitude	Gabriel Garcia Marquez	
The Divine Comedy	Dante Alighieri	
The Brothers Karamazov	Fyodor Dostoyevsky	
Madame Bovery	Gustave Flaubert	
The Adventures of Huckleberry Finn	Mark Twain	
Lolita	Vladimir Nabakov	
The Illiad	Homer	
Crime and Punishment	Fyodor Dostoyevsky	
Alice’s Adventures in Wonderland	Lewis Carroll	
Wuthering Heights	Emily Bronte	
Pride and Prejudice	Jane Austen	
The Catcher in the Rye	JD Salinger	
The Sound and the Fury	William Faulkner	
To the Lighthouse	Virginia Woolf	
Heart of Darkness	Joseph Conrad	
Anna Karenina	Leo Tolstoy	
Nineteen Eighty Four	George Orwell	
Great Expectations	Charles Dickens	
Middlemarch	George Eliot	
Gulliver’s Travels	Jonathan Swift	
Catch-22	Joseph Heller	
One Thousand and One Nights	Various	
The Grapes of Wrath	John Steinbeck	
The Stories of Anton Chekhov	Anton Chekhov	
Absolem, Absolem!	William Faulkner	
Jane Eyre	Charlotte Bronte	
The Trial	Franz Kafka	
Invisible Man	Ralph Ellison	
Mrs. Dalloway	Virginia Woolf	
The Red and the Black	Stendhal	
The Aeneid	Virgil	
David Copperfield	Charles Dickens	
Beloved	Toni Morrison	
The Stranger	Albert Camus	
Leaves of Grass	Walt Whitman	
To Kill a Mockingbird	Harper Lee	
A Portrait of the Artist as a Young Man	James Joyce	
The Sun also Rises	Ernest Hemingway	
Collected Fiction	Jorge Luis Borges	
Oedipus the King	Sophocles	
Candide	Voltaire	
The Canterbury Tales	Geoffrey Chaucer	
As I Lay Dying	William Faulkner	
The Complete Stories of Franz Kafka	Franz Kafka	
Tristram Shandy	Laurence Stern	
Midnight’s Children	Salman Rushdie	
The Complete Poems and Tales of Edgar Allen Poe	Edgar Allen Poe	
Les Miserables	Victor Hugo	
A Passage to India	EM Forster	
Paradise Lost	John Milton	
Antigone	Sophocles	
The Portrait of a Lady	Henry James	
The Magic Mountain	Thomas Mann	
Emma	Jane Austen	
Animal Farm	George Orwell	
The Old Man and the Sea	Ernest Hemmingway	
Faust	Johanne Wolfgang von Goethe	
The Idiot	Fyodor Dostoyevsky	
Lord of the Rings	JRR Tolkein	
The Metamorphosis	Franz Kafka	
Vanity Fair	William Makepeace Thackeray	
Things Fall Apart	China Achebe	
The Good Soldier	Ford Madox Ford	
A Farewell to Arms	Ernest Hemmingway	
Pale Fire	Vladimir Nabakoz	
Lord of the Flies	William Golding	
Dead Souls	Nikolai Gogol	
Oresteia	Aeschylus	
For Whom the Bell Tolls	Ernest Hemmingway	
Frankenstein	Mary Shelley	
Gargantua and Pantagruel	Francois Rabelais	
Under the Volcano	Malcolm Lowry	
The Castle	Franz Kafka	
The Flowers of Evil	Charles Baudelaire	
Brave New World	Aldous Huxley	
Journey to the End of Night	Louis Ferdinand Celine	
Tom Jones	Henry Fielding	
The Scarlet Letter	Nathaniel Hawthorne	
Fairy tales and stories	Hans Christian Andersen	
Robinson Crusoe	Daniel Defoe	
Cousin Bette	Honore de Balzac	
A Sentimental Education	Gustave Flaubert	
Gone with the Wind	Margaret Mitchell	
Metamorphosis	Ovid	
Oedipus at Colonus	Sophocles	
Tess of the d’Urbervilles	Thomas Hardy	
Charlotte’s Web	EB White	
The Possessed	Fyodor Dostoyevsky	
Decameron	Giovanni Boccaccio	
Waiting for Godot	Samuel Beckett	
Fathers and Sons	Ivan Turgenev	
Slaughterhouse Five	Kurt Vonnegut	
