# source: https://www.grantlibrary.net/uploads/4/5/5/6/45565029/goodreads_100_books_you_should_read_in_a_lifetime.pdf
# fetched: 2026-08-18
# note: 3-page PDF titled 'Goodreads 100 Books You Should Read in a Lifetime' hosted by Grant Library (the Goodreads/Amazon lifetime list; the PDF itself states no year or compiler); 100 entries in the PDF's numbered order; text extracted with macOS PDFKit; no years given
To Kill a Mockingbird	Harper Lee	
Pride and Prejudice	Jane Austen	
Anne Frank: The Diary of a Young Girl	Anne Frank	
1984	George Orwell	
Harry Potter and the Sorcerer’s Stone	J.K. Rowling	
The Lord of the Rings	J.R.R. Tolkien	
The Great Gatsby	F. Scott Fitzgerald	
Charlotte’s Web	E.B. White	
Little Women	Louisa May Alcott	
The Hobbit	J.R.R. Tolkien	
Fahrenheit 451: A Novel	Ray Bradbury	
Jane Eyre	Charlotte Bronte	
Gone With the Wind	Margaret Mitchell	
Animal Farm	George Orwell	
The Catcher in the Rye	J.D. Salinger	
The Adventures of Huckleberry Finn	Mark Twain	
The Help	Kathryn Stockett	
The Grapes of Wrath	John Steinbeck	
The Lion, the Witch and the Wardrobe	C.S. Lewis	
The Hunger Games	Suzanne Collins	
The Book Thief	Markus Zusak	
Lord of the Flies	William Golding	
The Kite Runner	Khaled Hosseini	
Night	Elie Wiesel	
Hamlet	William Shakespeare	
A Tale of Two Cities	Charles Dickens	
A Wrinkle in Time	Madeline L’Engle	
The Hitchhiker’s Guide to the Galaxy	Douglas Adams	
A Christmas Carol	Charles Dickens	
Of Mice and Men	John Steinbeck	
The Secret Garden	Frances Hodgson Burnett	
Romeo and Juliet	William Shakespeare	
The Handmaid’s Tale	Margaret Atwood	
Brave New World	Aldous Huxley	
The Little Prince	Antoine Saint-Exupery	
Where the Sidewalk Ends	Shel Silverstein	
Wuthering Heights	Emily Bronte	
The Giver	Lois Lowry	
Anne of Green Gables	L.M. Montgomery	
Macbeth	William Shakespeare	
The Adventures of Tom Sawyer	Mark Twain	
Harry Potter and the Deathly Hallows	J.K. Rowling	
Frankenstein	Mary Shelley	
The Holy Bible: New King James Version	Thomas Nelson	
The Girl with the Dragon Tattoo	Stieg Larsson	
The Count of Monte Cristo	Alexandre Dumas pere	
The Fault in Our Stars	John Green	
The Color Purple	Alice Walker	
East of Eden	John Steinbeck	
A Tree Grows in Brooklyn	Betty Smith	
Catch-22	Joseph Heller	
In Cold Blood	Truman Capote	
The Stand	Stephen King	
Alice’s Adventures in Wonderland & Through the Looking Glass	Lewis Carroll	
Watership Down	Richard Adams	
Anna Karenina	Leo Tolstoy	
Ender’s Game	Orson Scott Card	
Great Expectations	Charles Dickens	
Rebecca	Daphne du Maurier	
Memoirs of a Geisha: A Novel	Arthur Golden	
The Adventures of Sherlock Holmes	Arthur Conan Doyle	
Harry Potter and the Prisoner of Azkaban	J.K. Rowling	
The Old Man and the Sea	Ernest Hemingway	
Game of Thrones (A Song of Ice and Fire Book 1)	George R.R. Martin	
The Princess Bride: S. Morgenstern’s Classic Tale of True Love and High Adventure	William Goldman	
Charlie and the Chocolate Factory	Roald Dahl	
Life of Pi	Yann Martel	
The Pillars of the Earth	Ken Follett	
Les Miserables	Victor Hugo	
The Scarlet Letter	Nathaniel Hawthorne	
Dracula	Bram Stoker	
Harry Potter and the Half-Blood Prince	J.K. Rowling	
Catching Fire (The Hunger Games Book 2)	Suzanne Collins	
Water for Elephants: A Novel	Sara Gruen	
The Raven	Edgar Allen Poe	
The Secret Life of Bees	Sue Monk Kidd	
Outlander	Diana Gabaldon	
One Hundred Years of Solitude	Gabriel Garcia Marquez	
The Poisonwood Bible: A Novel	Barbara Kingslover	
The Good Earth	Pearl S. Buck	
The Time Traveler’s Wife	Audrey Niffenegger	
The Odyssey	Homer	
Celebrating Silence: Excerpts From Five Years of Weekly Knowledge 1995-2000	Sri Sri Ravi Shankar	
A Prayer for Owen Meany	John Irving	
And Then There Were None	Agatha Christie	
The Immortal Life of Henrietta Lacks	Rebecca Skloot	
The Thorn Birds	Colleen McCullough	
The Glass Castle: A Memoir	Jeannette Walls	
Mockingjay (The Final Book of the Hunger Games)	Suzanne Collins	
The Things They Carried	Tim O’Brien	
The Road	Cormac McCarthy	
Cutting for Stone	Abraham Verghese	
The Brothers Karamazov	Fyodor Dostoevsky	
Siddhartha	Hermann Hesse	
Beloved	Toni Morrison	
Helen Keller: The Story of My Life	Helen Keller	
The Phantom Tollbooth	Norton Juster	
From the Mixed-up Files of Mrs. Basil E. Frankweiler	E.L. Konigsburg	
Gone Girl	Gillian Flynn	
Crime and Punishment	Fyodor Dostoyevsky	
