# source: https://www.penguin.co.uk/discover/articles/100-must-read-classic-books
# fetched: 2026-08-18
# note: Penguin UK '100 must-read classics, as chosen by our readers' (penguin.co.uk editorial article, reader-voted, numbered 1-100; no publication year shown on page); 100 entries captured
Pride and Prejudice	Jane Austen	1813
To Kill a Mockingbird	Harper Lee	1960
The Great Gatsby	F. Scott Fitzgerald	1925
Madonna in a Fur Coat	Sabahattin Ali	1943
One Hundred Years of Solitude	Gabriel García Márquez	1967
In Cold Blood	Truman Capote	1965
Wide Sargasso Sea	Jean Rhys	1966
Brave New World	Aldous Huxley	1932
I Capture The Castle	Dodie Smith	1948
Jane Eyre	Charlotte Bronte	1847
Crime and Punishment	Fyodor Dostoevsky	1866
The Turn of the Screw	Henry James	1898
The Secret History	Donna Tartt	1992
The Call of the Wild	Jack London	1903
Persuasion	Jane Austen	1818
Les Miserables	Victor Hugo	1862
Moby-Dick	Herman Melville	1851
To the Lighthouse	Virginia Woolf	1927
The Death of the Heart	Elizabeth Bowen	1938
Frankenstein	Mary Shelley	1823
The Master and Margarita	Mikhail Bulgakov	1966
The Go-Between	L. P. Hartley	1953
The Iliad	Homer	8th century BC
One Flew Over the Cuckoo's Nest	Ken Kesey	1962
Nineteen Eighty-Four	George Orwell	1949
The Catcher in the Rye	J.D. Salinger	1951
Beloved	Toni Morrison	1987
The Code of the Woosters	P. G. Wodehouse	1938
Dracula	Bram Stoker	1897
The Outsiders	S. E. Hinton	1967
The Chrysalids	John Wyndham	1955
War and Peace	Leo Tolstoy	1867
Great Expectations	Charles Dickens	1860
Another Country	James Baldwin	1962
Catch-22	Joseph Heller	1961
The Age of Innocence	Edith Wharton	1920
Things Fall Apart	Chinua Achebe	1958
Middlemarch	George Eliot	1871
Rebecca	Daphne du Maurier	1938
Tess of the d'Urbervilles	Thomas Hardy	1891
Vanity Fair	William Makepeace Thackeray	1847
Brideshead Revisited	Evelyn Waugh	1945
Madame Bovary	Gustave Flaubert	1857
The Mill on the Floss	George Eliot	1860
Barchester Towers	Anthony Trollope	1857
Lady Chatterley’s Lover	D.H Lawrence	1960
The Count of Monte Cristo	Alexandre Dumas	1844
The Grapes of Wrath	John Steinbeck	1939
Ulysses	James Joyce	1922
East of Eden	John Steinbeck	1952
The Lord of the Rings	J. R. R. Tolkien	1954
The Brothers Karamazov	Fyodor Dostoyevsky	1880
Buddenbrooks	Thomas Mann	1901
Lolita	Vladimir Nabokov	1955
Scoop	Evelyn Waugh	1938
Love in a Cold Climate	Nancy Mitford	1949
A Tale of Two Cities	Charles Dickens	1859
Diary of a Nobody	George Grossmith and Weedon Grossmith	1892
Anna Karenina	Leo Tolstoy	1878
The Betrothed	Alessandro Manzoni	1827
Orlando	Virginia Woolf	1928
Atlas Shrugged	Ayn Rand	1957
The Time Machine	H. G. Wells	1895
The Art of War	Sun-Tzu	
The Forsyte Saga	John Galsworthy	1922
Travels with Charley	John Steinbeck	1962
Tropic of Cancer	Henry Miller	1934
Don Quixote	Miguel Cervantes	1605
Staying On	Paul Scott	1977
The Quiet American	Graham Greene	1955
Wuthering Heights	Emily Brontë	1847
Perfume	Patrick Süskind	1985
The Adventures of Huckleberry Finn	Mark Twain	1884
Of Human Bondage	Somerset Maugham	1915
Bleak House	Charles Dickens	1853
Sense and Sensibility	Jane Austen	1811
The Picture of Dorian Gray	Oscar Wilde	1891
A Christmas Carol	Charles Dickens	1843
Silas Marner	George Eliot	1861
Mrs Dalloway	Virginia Woolf	1925
Little Women	Louisa May Alcott	1868
The Sea, The Sea	Iris Murdoch	1978
David Copperfield	Charles Dickens	1849
The Castle	Franz Kafka	1926
I, Claudius	Robert Graves	1934
I Know Why the Caged Bird Sings	Maya Angelou	1969
A Confederacy of Dunces	John Kennedy Toole	1980
The Razor's Edge	W. Somerset Maugham	1944
Lark Rise to Candleford	Flora Thompson	1939
The Return of the Native	Thomas Hardy	1878
A Portrait of the Artist as a Young Man	James Joyce	1916
Heart of Darkness	Joseph Conrad	1902
North and South	Elizabeth Gaskell	1854
The Handmaid's Tale	Margaret Atwood	1985
Giovanni's Room	James Baldwin	1956
The Godfather	Mario Puzo	1969
The Woman in White	Wilkie Collins	1860
One Day in the Life of Ivan Denisovich	Alexander Solzhenitsyn	1962
White Nights	Fyodor Dostoyevsky	1848
Hard Times	Charles Dickens	1854
