# source: https://www.theguardian.com/books/2015/aug/17/the-100-best-novels-written-in-english-the-full-list
# fetched: 2026-08-18
# note: The Guardian's 100 best novels written in English, chosen by Robert McCrum, 2015, numbered chronologically 1-100; 100 entries in page order with the page's years
The Pilgrim’s Progress	John Bunyan	1678
Robinson Crusoe	Daniel Defoe	1719
Gulliver’s Travels	Jonathan Swift	1726
Clarissa	Samuel Richardson	1748
Tom Jones	Henry Fielding	1749
The Life and Opinions of Tristram Shandy, Gentleman	Laurence Sterne	1759
Emma	Jane Austen	1816
Frankenstein	Mary Shelley	1818
Nightmare Abbey	Thomas Love Peacock	1818
The Narrative of Arthur Gordon Pym of Nantucket	Edgar Allan Poe	1838
Sybil	Benjamin Disraeli	1845
Jane Eyre	Charlotte Brontë	1847
Wuthering Heights	Emily Brontë	1847
Vanity Fair	William Thackeray	1848
David Copperfield	Charles Dickens	1850
The Scarlet Letter	Nathaniel Hawthorne	1850
Moby-Dick	Herman Melville	1851
Alice’s Adventures in Wonderland	Lewis Carroll	1865
The Moonstone	Wilkie Collins	1868
Little Women	Louisa May Alcott	1868-9
Middlemarch	George Eliot	1871-2
The Way We Live Now	Anthony Trollope	1875
The Adventures of Huckleberry Finn	Mark Twain	1884/5
Kidnapped	Robert Louis Stevenson	1886
Three Men in a Boat	Jerome K Jerome	1889
The Sign of Four	Arthur Conan Doyle	1890
The Picture of Dorian Gray	Oscar Wilde	1891
New Grub Street	George Gissing	1891
Jude the Obscure	Thomas Hardy	1895
The Red Badge of Courage	Stephen Crane	1895
Dracula	Bram Stoker	1897
Heart of Darkness	Joseph Conrad	1899
Sister Carrie	Theodore Dreiser	1900
Kim	Rudyard Kipling	1901
The Call of the Wild	Jack London	1903
The Golden Bowl	Henry James	1904
Hadrian the Seventh	Frederick Rolfe	1904
The Wind in the Willows	Kenneth Grahame	1908
The History of Mr Polly	HG Wells	1910
Zuleika Dobson	Max Beerbohm	1911
The Good Soldier	Ford Madox Ford	1915
The Thirty-Nine Steps	John Buchan	1915
The Rainbow	DH Lawrence	1915
Of Human Bondage	W Somerset Maugham	1915
The Age of Innocence	Edith Wharton	1920
Ulysses	James Joyce	1922
Babbitt	Sinclair Lewis	1922
A Passage to India	EM Forster	1924
Gentlemen Prefer Blondes	Anita Loos	1925
Mrs Dalloway	Virginia Woolf	1925
The Great Gatsby	F Scott Fitzgerald	1925
Lolly Willowes	Sylvia Townsend Warner	1926
The Sun Also Rises	Ernest Hemingway	1926
The Maltese Falcon	Dashiell Hammett	1929
As I Lay Dying	William Faulkner	1930
Brave New World	Aldous Huxley	1932
Cold Comfort Farm	Stella Gibbons	1932
Nineteen Nineteen	John Dos Passos	1932
Tropic of Cancer	Henry Miller	1934
Scoop	Evelyn Waugh	1938
Murphy	Samuel Beckett	1938
The Big Sleep	Raymond Chandler	1939
Party Going	Henry Green	1939
At Swim-Two-Birds	Flann O’Brien	1939
The Grapes of Wrath	John Steinbeck	1939
Joy in the Morning	PG Wodehouse	1946
All the King’s Men	Robert Penn Warren	1946
Under the Volcano	Malcolm Lowry	1947
The Heat of the Day	Elizabeth Bowen	1948
Nineteen Eighty-Four	George Orwell	1949
The End of the Affair	Graham Greene	1951
The Catcher in the Rye	JD Salinger	1951
The Adventures of Augie March	Saul Bellow	1953
Lord of the Flies	William Golding	1954
Lolita	Vladimir Nabokov	1955
On the Road	Jack Kerouac	1957
Voss	Patrick White	1957
To Kill a Mockingbird	Harper Lee	1960
The Prime of Miss Jean Brodie	Muriel Spark	1960
Catch-22	Joseph Heller	1961
The Golden Notebook	Doris Lessing	1962
A Clockwork Orange	Anthony Burgess	1962
A Single Man	Christopher Isherwood	1964
In Cold Blood	Truman Capote	1966
The Bell Jar	Sylvia Plath	1966
Portnoy’s Complaint	Philip Roth	1969
Mrs Palfrey at the Claremont	Elizabeth Taylor	1971
Rabbit Redux	John Updike	1971
Song of Solomon	Toni Morrison	1977
A Bend in the River	VS Naipaul	1979
Midnight’s Children	Salman Rushdie	1981
Housekeeping	Marilynne Robinson	1981
Money: A Suicide Note	Martin Amis	1984
An Artist of the Floating World	Kazuo Ishiguro	1986
The Beginning of Spring	Penelope Fitzgerald	1988
Breathing Lessons	Anne Tyler	1988
Amongst Women	John McGahern	1990
Underworld	Don DeLillo	1997
Disgrace	JM Coetzee	1999
True History of the Kelly Gang	Peter Carey	2000
